column,block,kind,transform,formula,partition_vs_ADM3,r_pb_with_default,gloss
Has_Credit_History,FIN,indicator,none,,,0.0914537133832953,Borrower has a prior credit record with the lender
IDRV_4,FIN,indicator,none,,,0.0381426934992286,Dummy: primary rice variety is non-fragrant white rice (code 4)
IDRV_5,FIN,indicator,none,,,0.0115587886307838,Dummy: primary rice variety is glutinous rice (code 5)
MH_cos,FIN,cyclical,sin/cos of the month on a 12-month circle,,,-0.0368819873398638,"Harvest month, cosine term of the cyclical encoding"
MH_sin,FIN,cyclical,sin/cos of the month on a 12-month circle,,,-0.021863789817625,"Harvest month, sine term of the cyclical encoding"
MP_cos,FIN,cyclical,sin/cos of the month on a 12-month circle,,,0.0122261591526852,"Planting month, cosine term of the cyclical encoding"
MP_sin,FIN,cyclical,sin/cos of the month on a 12-month circle,,,-0.0209933854531095,"Planting month, sine term of the cyclical encoding"
Previous_Default,FIN,indicator,none,,,0.298171383985286,Borrower defaulted in an earlier crop year
TE_IDDT,FIN,target encoding,"mean of the outcome within the level, additive Bayesian smoothing; fitted on years 1-2 only",,not geographic,0.0291471909798834,Target encoding of the land-rights document type: legal class conferring cultivation rights (64 levels)
norm_CD,FIN,count,"global min-max to [0,1] estimated on years 1-2, 4 dp",,,-0.054838526008713,"Cultivation days, planting to harvest"
norm_log_Area,FIN,monetary or area,"log1p, then global min-max to [0,1] estimated on years 1-2, 4 dp",,,-0.0494689038454155,"Total area actively cultivated with rice (rai; 1 rai = 1,600 m2)"
norm_log_AreaR,FIN,monetary or area,"log1p, then global min-max to [0,1] estimated on years 1-2, 4 dp",,,-0.0385539826191916,Total land area on the legal-rights document (rai)
norm_log_CL,FIN,monetary or area,"log1p, then global min-max to [0,1] estimated on years 1-2, 4 dp",,,0.0119065096064191,Approved credit limit at the end of the observation year (THB)
norm_log_CLb,FIN,monetary or area,"log1p, then global min-max to [0,1] estimated on years 1-2, 4 dp",,,0.0350861105127759,Approved credit limit at the start of the observation year (THB)
norm_log_Debt_per_Rai,FIN,monetary or area,"log1p, then global min-max to [0,1] estimated on years 1-2, 4 dp",Out / Area,,0.0458876458976044,Debt-to-land: debt intensity against the primary productive asset
norm_log_Dep,FIN,monetary or area,"log1p, then global min-max to [0,1] estimated on years 1-2, 4 dp",,,-0.224882154903703,Deposit balance at year-end (THB)
norm_log_Depb,FIN,monetary or area,"log1p, then global min-max to [0,1] estimated on years 1-2, 4 dp",,,-0.211326112391479,Deposit balance at the beginning of the reference year (THB)
norm_log_Int,FIN,monetary or area,"log1p, then global min-max to [0,1] estimated on years 1-2, 4 dp",,,0.364065146641342,Annual contractual interest rate (percent)
norm_log_Out,FIN,monetary or area,"log1p, then global min-max to [0,1] estimated on years 1-2, 4 dp",,,0.0343495798647551,"Outstanding principal at year-end, excluding accrued interest (THB)"
norm_log_Outb,FIN,monetary or area,"log1p, then global min-max to [0,1] estimated on years 1-2, 4 dp",,,0.0536078775372206,Outstanding principal at the beginning of the observation year (THB)
norm_log_eCost,FIN,monetary or area,"log1p, then global min-max to [0,1] estimated on years 1-2, 4 dp",,,-0.0313235815163413,Estimated total cultivation cost across all plots (THB)
