"column","record_1","record_2"
"ID","SYN00000001","SYN00000008"
"Year","1","1"
"Y","0","1"
"ADM3","100001","100001"
"norm_log_Dep","0.5511","0.2283"
"norm_log_Depb","0.3876","0.3708"
"norm_win_Liquidity_Buffer","0.5895","0.3977"
"norm_win_Bes","0.4773","0.4098"
"norm_CD","0.5538","0.5014"
"norm_nP","0.4864","0.3107"
"norm_log_Area","0.5514","0.4119"
"norm_win_Est_DSCR20","0.4841","0.4386"
"norm_win_Est_DSCR10","0.3943","0.4524"
"norm_nIS","0.5416","0.4768"
"norm_log_AreaR","0.4590","0.4965"
"MH_cos","0.5750","0.3299"
"norm_log_eYie","0.4564","0.5109"
"norm_log_eCost","0.5539","0.7053"
"norm_nRV","0.5571","0.2728"
"norm_log_eInc","0.5738","0.5840"
"norm_win_Saving_Growth","0.4976","0.3415"
"MH_sin","0.6347","0.4029"
"MP_sin","0.4323","0.3004"
"norm_win_Area_Utilization_Rate","0.5932","0.7137"
"IDRV_5","0","1"
"norm_log_CL","0.5063","0.6523"
"MP_cos","0.4620","0.7179"
"norm_win_Debt_Momentum","0.5327","0.6472"
"norm_log_ePrcton","0.3739","0.2954"
"norm_win_Saving_Momentum","0.3068","0.4018"
"norm_win_Debt_Reduction","0.5752","0.3238"
"norm_win_Profitability_Buffer","0.5231","0.6878"
"norm_log_Out","0.5655","0.4179"
"norm_log_CLb","0.6153","0.3572"
"IDRV_4","1","1"
"norm_log_Debt_per_Rai","0.3576","0.4475"
"norm_win_Repayment_Rate","0.4641","0.5379"
"norm_log_eYierai","0.3921","0.6213"
"norm_win_Proxy_DSR","0.4081","0.3050"
"norm_log_Outb","0.3792","0.5826"
"norm_win_Debt_to_Income","0.3447","0.5042"
"norm_log_eCostrai","0.5384","0.4993"
"Has_Credit_History","1","0"
"norm_win_Credit_Utilization_Rate","0.3978","0.4751"
"norm_nLC","0.3495","0.5848"
"Previous_Default","0","1"
"norm_log_Int","0.4333","0.6465"
"TE_ADM3","0.048368","0.048368"
"TE_IDProv_rice","0.062866","0.062866"
"TE_ADM3RL","0.065501","0.034384"
"TE_IDProv_RL","0.070389","0.046994"
"TE_IDDT","0.047128","0.066480"
"norm_NDVI5","0.5517","0.5517"
"norm_NDVI6","0.6153","0.6153"
"norm_NDVI7","0.5652","0.5652"
"norm_NDVI8","0.4967","0.4967"
"norm_NDVI9","0.6102","0.6102"
"norm_NDVI10","0.5519","0.5519"
"norm_NDVI11","0.5603","0.5603"
"norm_NDVI12","0.4893","0.4893"
"norm_NDWI5","0.6486","0.6486"
"norm_NDWI6","0.713","0.713"
"norm_NDWI7","0.5302","0.5302"
"norm_NDWI8","0.5459","0.5459"
"norm_NDWI9","0.608","0.608"
"norm_NDWI10","0.4552","0.4552"
"norm_NDWI11","0.5333","0.5333"
"norm_NDWI12","0.4896","0.4896"
"norm_LST5","0.5863","0.5863"
"norm_LST6","0.3438","0.3438"
"norm_LST7","0.2916","0.2916"
"norm_LST8","0.5453","0.5453"
"norm_LST9","0.4776","0.4776"
"norm_LST10","0.5663","0.5663"
"norm_LST11","0.4632","0.4632"
"norm_LST12","0.365","0.365"
"norm_Precipitation5","0.2806","0.2806"
"norm_Precipitation6","0.3383","0.3383"
"norm_Precipitation7","0.3939","0.3939"
"norm_Precipitation8","0.2441","0.2441"
