"feature","r_pb"
"norm_log_Dep",-0.224882154903703
"norm_log_Depb",-0.211326112391479
"norm_win_Liquidity_Buffer",-0.0909943748100336
"norm_win_Bes",-0.0619253170101104
"norm_CD",-0.054838526008713
"norm_nP",-0.0501217511703351
"norm_log_Area",-0.0494689038454155
"norm_win_Est_DSCR20",-0.0411292506335235
"norm_win_Est_DSCR10",-0.0411292505790388
"norm_nIS",-0.0387172726970792
"norm_log_AreaR",-0.0385539826191916
"MH_cos",-0.0368819873398638
"norm_log_eYie",-0.0316816927071009
"norm_log_eCost",-0.0313235815163413
"norm_nRV",-0.0302286864253032
"norm_log_eInc",-0.0278511452854275
"norm_win_Saving_Growth",-0.0243451703814795
"MH_sin",-0.021863789817625
"MP_sin",-0.0209933854531095
"norm_win_Area_Utilization_Rate",-0.0104992161176693
"IDRV_5",0.0115587886307838
"norm_log_CL",0.0119065096064191
"MP_cos",0.0122261591526852
"norm_win_Debt_Momentum",0.0138977682672272
"norm_log_ePrcton",0.0161723734346792
"norm_win_Saving_Momentum",0.0236082474017927
"norm_win_Debt_Reduction",0.0257992934977208
"norm_win_Profitability_Buffer",0.026640629599921
"TE_IDDT",0.0291471909798834
"norm_log_Out",0.0343495798647551
"norm_log_CLb",0.0350861105127759
"IDRV_4",0.0381426934992286
"norm_log_Debt_per_Rai",0.0458876458976044
"norm_win_Repayment_Rate",0.0471923561294864
"norm_log_eYierai",0.0488297007855158
"norm_win_Proxy_DSR",0.0511253334644557
"norm_log_Outb",0.0536078775372206
"norm_win_Debt_to_Income",0.062177331968987
"norm_log_eCostrai",0.0748765689098323
"Has_Credit_History",0.0914537133832953
"norm_win_Credit_Utilization_Rate",0.0935717656256145
"TE_IDProv_rice",0.102524330017259
"TE_IDProv_RL",0.103794006610448
"norm_nLC",0.118723887557621
"TE_ADM3",0.175620505181032
"TE_ADM3RL",0.183683940894206
"Previous_Default",0.298171383985286
"norm_log_Int",0.364065146641342
