family,arm,auc_dev,auc_test,n_dev,n_test,n_feat,dev_fraction,secs,note,stamp,recall_a10,recall_a20,recall_a30,fn_a10,fn_a20,fn_a30
LR,F,0.905136628,0.890707914,2993442,1496721,44,1,95.3,,11/9/2026 20:08,0.543415893,0.744151399,0.835253329,82439,46195,29746
LR,F+EO,0.906865457,0.889338277,2993442,1496721,132,1,175.9,,11/9/2026 20:40,0.542119896,0.741409867,0.833613948,82673,46690,30042
LR,F+SP,0.912904263,0.894327454,2993442,1496721,48,1,79.6,,11/9/2026 20:46,0.547187576,0.747912005,0.840575777,81758,45516,28785
LR,F+SP+EO,0.913692077,0.893355229,2993442,1496721,136,1,157,,11/9/2026 20:50,0.546617116,0.747086776,0.83960101,81861,45665,28961
LR,EO,0.613887996,0.497840537,2993442,1496721,88,1,93.9,,11/9/2026 20:56,0.101641596,0.199356432,0.298677419,162204,144561,126628
LR,SP,0.699416036,0.656563317,2993442,1496721,4,1,41.9,,11/9/2026 20:57,0.212670861,0.36215357,0.487887414,142157,115167,92465
LR,EO+SPA,0.69948999,0.646816409,2993442,1496721,90,1,112.9,,14/9/2026 18:20,0.205864109,0.352527748,0.47566406,143386,116905,94672
RF,F,0.949241769,0.89768535,2993442,1496721,44,1,189.9,,14/9/2026 18:25,0.559134008,0.751567381,0.841910543,79601,44856,28544
RF,F+EO,0.956568468,0.893381985,2993442,1496721,132,1,680.1,,14/9/2026 18:36,0.55680786,0.744472629,0.834361638,80021,46137,29907
RF,F+SP,0.95397509,0.898061599,2993442,1496721,48,1,189.7,,14/9/2026 18:39,0.558114934,0.74792862,0.841334544,79785,45513,28648
RF,F+SP+EO,0.95897934,0.894331625,2993442,1496721,136,1,663.3,,14/9/2026 18:50,0.557898934,0.744998782,0.83403487,79824,46042,29966
RF,EO,0.709535543,0.4902962,2993442,1496721,88,1,235.5,,14/9/2026 18:54,0.098623142,0.197213053,0.290951284,162749,144948,128023
RF,SP,0.709130992,0.658355056,2993442,1496721,4,1,113.7,,14/9/2026 18:56,0.216542236,0.364878486,0.491094176,141458,114675,91886
RF,EO+SPA,0.710750196,0.645907105,2993442,1496721,90,1,244.8,,14/9/2026 19:00,0.200021046,0.348301912,0.475863444,144441,117668,94636
XGB,F,0.943050656,0.90636867,2993442,1496721,44,1,193.6,,14/9/2026 19:04,0.569346906,0.76737965,0.862042801,77757,42001,24909
XGB,F+EO,0.950235542,0.901842216,2993442,1496721,132,1,311.1,,14/9/2026 19:09,0.559593699,0.756856599,0.850611445,79518,43901,26973
XGB,F+SP,0.949005733,0.907297005,2993442,1496721,48,1,195.5,,14/9/2026 19:12,0.567397373,0.764599349,0.860636035,78109,42503,25163
XGB,F+SP+EO,0.952111929,0.905548109,2993442,1496721,136,1,294.3,,14/9/2026 19:17,0.562756153,0.760340282,0.857506812,78947,43272,25728
XGB,EO,0.70735792,0.496884847,2993442,1496721,88,1,218,,14/9/2026 19:21,0.101730211,0.196243825,0.292280511,162188,145123,127783
XGB,SP,0.700721288,0.656959105,2993442,1496721,4,1,19.3,,14/9/2026 19:21,0.213075168,0.36286803,0.488020337,142084,115038,92441
XGB,EO+SPA,0.705998372,0.648679757,2993442,1496721,90,1,39.5,,14/9/2026 19:22,0.205171803,0.350500676,0.476660981,143511,117271,94492
MLP,F,0.927129347,0.890186438,2993442,1496721,44,1,2310.6,,14/9/2026 20:01,0.546938346,0.713678859,0.829266266,81803,51697,30827
MLP,F+EO,0.930064867,0.900386147,2993442,1496721,132,1,2270,,14/9/2026 20:38,0.557112475,0.754491681,0.851381289,79966,44328,26834
MLP,F+SP,0.93365473,0.894946905,2993442,1496721,48,1,2309.5,,14/9/2026 21:17,0.553700791,0.730465894,0.837153016,80582,48666,29403
MLP,F+SP+EO,0.934730361,0.904424431,2993442,1496721,136,1,2238.4,,14/9/2026 21:54,0.565918607,0.760334744,0.857119121,78376,43273,25798
MLP,EO,0.63607752,0.479721775,2993442,1496721,88,1,2144.8,,14/9/2026 22:30,0.088936396,0.178686945,0.276036244,164498,148293,130716
MLP,SP,0.699754057,0.656692158,2993442,1496721,4,1,2134.1,,14/9/2026 23:06,0.212875784,0.363067414,0.487737876,142120,115002,92492
MLP,EO+SPA,0.703413888,0.648185108,2993442,1496721,90,1,2210.9,,14/9/2026 23:43,0.206301646,0.353458207,0.476151443,143307,116737,94584
STCRAAN,F+EO,0.927839525,0.900768246,2993442,1496721,132,1,3101.7,kernelL2=3.08 recurL2=2.11,15/9/2026 0:34,0.560873081,0.749612309,0.850362214,79287,45209,27018
STCRAAN,F+SP+EO,0.936823672,0.902866569,2993442,1496721,136,1,3268.2,kernelL2=2.5 recurL2=1.18,15/9/2026 1:29,0.556470015,0.753965529,0.856886506,80082,44423,25840
STCRAAN,F,0.930520139,0.903108487,2993442,1496721,44,1,2200,no-EO arm: static branch only,15/9/2026 18:57,0.559992468,0.755366756,0.857833581,79446,44170,25669
STCRAAN,F+SP,0.934446124,0.906249217,2993442,1496721,48,1,2150.6,no-EO arm: static branch only,15/9/2026 19:33,0.557838011,0.759005516,0.863593567,79835,43513,24629
